LECROYHDO6104,19130,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2000 17:00:50,0                 
Time,Ampl
-0.0028134616,0.011538892
-0.0028130616,0.011583337
-0.0028126616,0.011802781
-0.0028122616,0.012219448
-0.0028118616,0.01176667
-0.0028114616,0.011377781
-0.0028110616,0.011336115
-0.0028106616,0.011547226
-0.0028102616,0.01164167
-0.0028098616,0.011533337
-0.0028094616,0.01134167
-0.0028090616,0.011358337
-0.0028086616,0.011152781
-0.0028082616,0.010619448
-0.0028078616,0.010077781
-0.0028074616,0.010436115
-0.0028070616,0.011180559
-0.0028066616,0.011436115
-0.0028062616,0.011330559
-0.0028058616,0.011319448
-0.0028054616,0.01164167
-0.0028050616,0.012155559
-0.0028046616,0.012588892
-0.0028042616,0.012622226
-0.0028038616,0.012313892
-0.0028034616,0.012100003
-0.0028030616,0.012388892
-0.0028026616,0.012958337
-0.0028022616,0.013344448
-0.0028018616,0.013230559
-0.0028014616,0.012980559
-0.0028010616,0.012969448
-0.0028006616,0.012980559
-0.0028002616,0.012836114
-0.0027998616,0.012602781
-0.0027994616,0.01264167
-0.0027990616,0.012811114
-0.0027986616,0.012847226
-0.0027982616,0.012802781
-0.0027978616,0.01279167
-0.0027974616,0.012922226
-0.0027970616,0.013036114
-0.0027966616,0.013122226
-0.0027962616,0.013177781
-0.0027958616,0.013388892
-0.0027954616,0.01379167
-0.0027950616,0.014000003
-0.0027946616,0.01389167
-0.0027942616,0.013525003
-0.0027938616,0.013619448
-0.0027934616,0.014311114
-0.0027930616,0.01474167
-0.0027926616,0.01449167
-0.0027922616,0.013797226
-0.0027918616,0.013402781
-0.0027914616,0.013336114
-0.0027910616,0.013211114
-0.0027906616,0.013252781
-0.0027902616,0.013547226
-0.0027898616,0.013933337
-0.0027894616,0.014258337
-0.0027890616,0.014388892
-0.0027886616,0.014308337
-0.0027882616,0.013977781
-0.0027878616,0.013547226
-0.0027874616,0.013288892
-0.0027870616,0.013200003
-0.0027866616,0.013213892
-0.0027862616,0.013375003
-0.0027858616,0.013733337
-0.0027854616,0.014222226
-0.0027850616,0.01459167
-0.0027846616,0.014711114
-0.0027842616,0.014600003
